,C1_8-1-08_s1.CEL,C2_8-1-08_s1.CEL,C3_8-1-08_s1.CEL,E1_8-1-08_s1.CEL,E2_8-1-08_s1.CEL,E3_8-1-08_s1.CEL
1622930_a_at,8.82088943895446,9.07095704307796,8.65180774987933,9.15747700040239,9.11653627134715,8.8767507646403
1622931_at,8.80775782729462,9.01512930369302,8.59857384050341,9.13536726829677,9.201029573998,9.12225199275965
1622932_s_at,10.959841556067,11.1117753119436,10.9489661851908,11.1489319341246,11.0093541068208,11.2190455201658
1622933_at,5.27036541981467,5.59412416579148,5.59950132422351,5.00270245794127,5.18222952146849,5.13762813946181
1622934_at,7.7609199610752,7.61939751841657,7.70334276794839,7.32170614937041,7.68701157308689,7.73175684044385
1622935_at,4.48191050185113,4.30027220738333,4.53643278130175,4.59666724501157,4.35305530502348,4.36887792589267
1622936_at,4.12465176319045,4.03570672667334,4.02552490371626,4.29901440641164,3.72805883755086,3.90928389042844
1622937_at,9.08962528070975,9.15524308849703,8.87131040173203,9.98838595293116,9.47961632280684,9.78383102068574
1622938_at,4.00977197812076,4.11193284321587,4.05734784378777,4.02005561067186,4.03121066376315,4.1179315414828
1622939_at,10.7455831883563,11.0233031638178,10.7201532743743,10.8595826863784,10.9720987103532,10.7244333211193
1622940_at,4.04335273682595,3.97400820717511,3.74077444811987,4.10368875498381,3.95247380281526,4.10325435642526
1622941_at,11.2354645539287,11.1767038997512,11.2273799943463,11.3657365993095,11.2408944649485,11.19699096741
1622942_at,4.393522086043,4.50963977548495,4.34842164060134,4.8715434095802,4.56390979579533,4.71332888722098
1622943_s_at,8.09371655709152,8.11275215010347,8.06472169299188,8.17965914145381,8.15270488639506,8.22212498702147
1622944_at,8.4645642267172,8.57640428678692,8.41619475583911,8.69816654427402,8.56744795812854,8.32747625865907
1622945_a_at,9.57340365251938,9.39091200761285,9.36893436103296,9.78716231210647,9.37163255448837,9.29827538780949
1622946_at,6.62885533786394,6.13969253171294,6.92464351169862,5.88974326353481,5.65612415175087,5.79904312092953
1622947_s_at,12.5455771636383,12.5554444451846,12.6086522671735,12.6693216434433,12.5686382363987,12.5778581009953
1622948_at,8.7599096168632,8.86071755360965,8.81605645231878,9.24178971208173,9.18036340204048,9.19932901686022
1622949_at,8.97850760084108,8.86917932086884,9.03504543331632,9.31227232975755,9.43217209239548,9.08727263164055
1622950_a_at,10.6050475900108,10.7399199557341,10.6417534760644,10.8349437817958,10.808101267556,10.8152748562389
1622951_at,3.7637271425312,3.51944207578141,3.79165694830617,3.62562354448678,3.57227741590301,3.45143309496261
1622952_at,4.9435718302861,4.75652063162661,4.75426950229446,4.89036285621514,4.5990912187834,4.684442277868
1622953_at,4.09483423469043,3.98954138021179,4.11021444357392,3.97112848367377,3.84459171376905,4.06456862014436
1622954_at,3.87141062422055,3.98331688478738,3.91911737956685,3.97559653912307,3.97958757146519,3.85181902930672
1622955_at,4.73823652650757,4.44736521639789,4.6185391120983,4.57478788636476,4.61743761832286,4.71068110017195
1622956_at,4.09916475149193,3.94213659402087,3.87151573533275,4.05917263835769,3.95330927222124,4.05944684481077
1622957_s_at,4.07933304317519,3.9363576553077,3.92540484731427,3.74458562250873,4.0450304280249,4.04358795958314
1622958_at,4.228053829576,4.06862598516054,4.09882595051654,4.34990537783602,3.96143542655788,4.18865851009408
1622959_at,5.77828353131159,5.9399142436304,5.73283558856234,6.05830030972623,5.95028944822654,5.98080219028455
1622960_at,8.35108676254402,8.30909882444501,8.39074139509601,8.54968808728562,8.33250945471919,8.15152717153501
1622961_at,4.19217921939572,4.07887822700746,4.04534019382696,4.07080462078598,4.0396621501094,3.98283898844669
1622962_a_at,7.70933532224287,7.72565873368939,7.59567159356904,7.65487858687314,7.6775825858719,7.620510283178
1622963_at,4.12068274782057,4.07133337198762,4.10651939216203,4.18436206917351,4.21983569312576,4.11860553948238
1622964_at,3.87095473941964,3.70819434365619,3.9294670415082,3.93107442487542,3.70128387151327,3.98036493434716
1622965_s_at,3.62356415368704,3.73969682394377,3.32532455792089,3.61544544395236,3.66030307506963,3.61024361212374
1622966_at,6.59384879524863,6.4065120532774,6.39762838927259,6.63251715291636,6.33111391764715,6.42016462885483
1622967_at,5.48281807619965,5.19707597125075,5.55693977242407,5.40479986735856,5.25714140223075,5.34766092866391
1622968_at,9.69428100879487,9.80708042356651,9.69272675548493,9.92075257389281,9.84232379817399,9.86700408898407
1622969_at,4.26879063785614,4.52694395686069,4.30731339253022,4.16061605466143,4.61145481836525,4.26343181126779
1622970_at,8.1332883426111,8.09626985117587,8.26980422173457,7.74612931830526,8.04261458814826,7.78359102076761
1622971_at,8.90991873848546,8.95062620825175,8.7814813963609,8.89450076262624,8.88444341218036,8.94450512697665
1622972_at,5.21222587357859,5.18661370828269,5.19374174782587,5.32519578658355,5.31029014565965,5.34245636828858
1622973_at,10.4134254896775,10.4370494364479,10.3068958358987,10.5908190618369,10.492682501819,10.378994951633
1622974_at,7.11781835653649,7.15964331937377,7.47036447031607,6.31089254763227,6.90076584597842,6.73118128353808
1622975_at,3.68199108721282,3.81425927724003,3.56630625308489,3.58209499198292,3.7812046616854,3.91458182734945
1622976_at,8.49273839628696,8.68385447718809,8.40550138493518,8.53844932281107,8.70644688932212,8.54245696634672
1622977_at,3.81951467845207,4.01835533456005,3.90633528598347,4.04546019572105,3.84289649273831,3.82302466979275
1622978_at,3.26659150492725,3.34663561931808,3.16524012568004,3.16223784913732,3.23692548480491,3.29307707745759
1622979_a_at,11.5121551851451,11.487617132701,11.4989806983925,11.7423949744781,11.7363881704278,12.0290758889487
1622980_at,10.6882290859119,10.7462421695164,10.5019655036772,10.7827894447638,10.7728638215338,10.6913564403907
1622981_at,7.69678699864148,7.75982118186157,7.67769235033247,7.83719947909771,7.85762030246636,7.69883910024894
1622982_at,9.81990806153956,9.69124314796492,9.88368383247058,9.58899052085037,9.72054780035054,9.74972996525702
1622983_a_at,9.95003033698148,10.2341123964426,9.96689048920171,10.1488742524893,10.1378086199951,10.1232756465677
1622984_at,10.5072293114879,10.4397941150825,10.4152361412527,10.8833709077382,10.4348958825214,10.1972873586892
1622985_at,4.79980539154412,4.67205124785873,4.47649493605478,4.72663986454147,4.64570323369227,4.57814283110404
1622986_at,4.63242243131608,4.46994959612074,4.33079717721793,4.90555781596605,4.37580432886613,4.47990041895239
1622987_at,4.14612382629783,4.284257305918,3.90628823489587,4.10747328181882,4.09232178669597,4.09563891252992
1622988_at,4.73539005616321,4.53047115371513,4.76826735424349,4.48204836515503,4.53853204677049,4.77062109882794
1622989_at,7.77025530145341,7.61842065721098,7.6402972446205,8.0030057657826,7.97470953671365,8.11804979022244
1622990_at,9.34470817279501,9.28461624958165,9.41740721931673,8.92201558066499,9.04139228411061,9.00913052536626
1622991_s_at,8.19730749713744,8.33270584862347,7.98530133406529,8.12701122228465,8.31338287362949,8.2992941923067
1622992_at,9.87364215925572,9.85111701282174,9.39238527488925,9.92700075624226,9.83916470218975,9.9975591682772
1622993_at,3.70705214386937,3.60189635779606,3.91568359972326,3.66674250374894,3.6117015686991,3.71503848023173
1622994_at,4.68282002346119,4.57750190361295,4.77289568030548,4.86931457640779,4.535106893823,4.71280983697414
1622995_at,9.26851193638271,9.21646717685063,9.2378110061694,9.66752798400704,9.31837186431342,9.29118142464992
1622996_at,8.20246260826067,8.22263749055287,8.30085553780745,8.23241704115579,8.49972208386048,8.32690182336763
1622997_at,5.0021039562445,5.15645459102582,5.11321008841849,5.14943443028095,5.15843793150818,4.89453414651261
1622998_a_at,9.15464448419449,9.08669315829239,8.9663584915468,9.54104639845957,9.34832670037367,9.29084180237491
1622999_at,11.9261556321992,12.0792889562606,11.8987250429582,11.8983389382651,12.0010736346859,11.9927703898336
1623000_at,5.00146422578992,4.98703517419039,5.20899929380063,4.54481372239225,4.4899084362626,4.55687258188095
1623001_at,5.06327239113453,4.83762826037122,5.21126077945255,5.13444134357444,4.90154929099878,5.26706335147868
1623002_at,4.15757296419374,4.21688826349571,4.17961602339889,4.40135911091671,4.18905213324408,4.23249599495356
1623003_at,3.55086679921563,3.64883963819697,3.43486548519183,3.50255155030768,3.43051270399034,3.51907982464024
1623004_a_at,4.12838330241384,4.323537401441,4.22439336850545,4.42685239718603,4.25235760417448,4.32134015577777
1623005_at,3.64218874605341,3.51110614017785,3.62925763769588,3.57683141620753,3.45925469573671,3.55225147213622
1623006_at,6.37902398868984,6.49829335800037,6.57791283039242,6.36919465626921,6.4520577214564,6.22569261998726
1623007_a_at,7.07827032578857,7.27307311791276,6.95134819857154,5.82053010817514,7.03806459866181,6.77477672920554
1623008_at,3.79952525681207,3.66211835775629,4.02515761091795,3.92057927707167,3.70625642716157,3.86539533549004
1623009_at,9.89407036730526,10.0126094203917,9.8453605520296,10.2119532195747,10.0831591849144,9.99883903723945
1623010_at,3.9300951772223,3.77227575314965,3.93751270800251,4.11807090668221,3.72599451305256,3.93005535888795
1623011_at,4.29687678996409,4.37725381890701,4.28557908595257,4.39077222205187,4.26634847890739,4.23505674432022
1623012_at,9.25836505538027,9.22856303625467,9.2668743273704,9.4729488781946,9.19844198173425,9.11536743228259
1623013_s_at,10.2311902904095,10.2335510743214,10.2629401776312,10.2155538776802,10.2054479338539,10.2233142360342
1623014_at,4.00891322399923,4.02272696959221,4.17416210953013,4.10290153366217,4.18617722026452,4.06040276102063
1623015_at,9.53758818252031,9.73456491346692,9.47710291535516,9.98622836134453,9.89638908910259,9.87295331113154
1623016_at,7.46159235547604,7.1761736592751,7.68884402070186,7.09813720276862,7.30739217477547,7.262029953607
1623017_at,10.1605361541912,10.0835124438433,10.2502250740058,9.78947459044307,10.0066839083827,9.90080070677587
1623018_at,3.53769345331249,3.3802707623027,3.56069045462928,3.52859092814583,3.55104192957744,3.52404046323829
1623019_a_at,7.47502394892852,7.54503903594492,7.94993015143188,6.51669456139811,7.24013513787262,7.01801891283273
1623020_at,9.45972693301945,9.54688772460165,9.47395201012818,9.64343113791114,9.35881294209629,9.60731916979213
1623021_at,11.5218112517982,11.4236216011145,11.220308806974,12.1187163559119,11.7033203316695,11.7028162244068
1623022_at,4.90372459326335,4.74581369533041,5.06934649864863,4.72510689533233,4.49452623342808,4.53690007568681
1623023_at,11.134975380717,11.231272369168,11.071670389744,11.0047609915523,11.1403774558213,11.1628889278188
1623024_at,4.00968251768296,4.10601935319845,4.1041173427202,4.05820687946651,4.09354931152862,4.13892140734634
1623025_at,7.00217029314573,7.22679272485045,6.77497977961918,8.27680561984252,7.44184257200484,7.39548161331786
1623026_a_at,3.68682785175841,3.73966086927596,3.76153864900681,3.88940855602347,3.79614013426087,3.85092445970115
1623027_s_at,6.00607113816331,5.41820135053248,6.00966012829268,6.0312755559978,6.67482409150142,6.32867015630397
1623028_at,5.43554499914236,5.51490909067645,5.77161564569439,4.64246420379753,4.75000988589186,4.9337944369341
1623029_at,4.78407427887147,4.85115132472903,4.77519939490069,4.7171344217212,4.82220382623175,4.88422305883739
1623030_at,3.91884802415288,3.91160749796065,4.00619900867772,3.96427771642165,3.66605923167424,3.85756102833785
1623031_a_at,7.06663249057039,7.71189305907555,7.15428027657916,7.47551509271475,7.6457686361773,7.34972363463891
1623032_at,4.3882172543265,4.25499791097187,4.15198199866972,4.13731241538732,4.35070042542606,4.36527207691578
1623033_at,4.2031081573811,4.08214575179659,4.10199967402476,4.40521886095371,3.94145240632071,4.14962407495702
1623034_at,4.45461142254022,4.4553777446768,4.50196337083653,4.47126348599007,4.30295100011216,4.5316657654921
1623035_at,6.30970321797878,6.48458419047006,6.14219772245587,6.1022079125567,6.30094361515435,6.70458464396751
1623036_a_at,10.135036978697,10.1230052267156,10.1953205824763,9.74383539872898,9.97192826289779,9.95651051764439
1623037_a_at,10.8071377431052,10.7275753425665,10.8932700954177,10.4696624010991,10.6473750762484,10.6906547261788
1623038_at,5.09517223329892,4.86269904394142,5.01070033881814,5.11279325471676,5.11417227501073,5.24316895068433
1623039_at,10.3491951600421,10.3714383237722,10.3755281670756,9.75477443724138,10.3468949343424,10.4112150030472
1623040_at,9.6135941287577,9.94989578055153,9.58777592725951,9.80461137175339,9.90811587638391,9.53360350563324
1623041_at,7.129089854561,7.64469909960647,7.19775865247042,7.58417574901756,7.59507773920503,7.35222168483311
1623042_at,5.30058160551116,5.1810680465793,5.27505803074598,5.02988205550212,4.87132059348992,5.06909165223076
1623043_s_at,8.94532374653311,9.17756767829668,8.99442726111852,9.16006654190866,9.30709820715603,9.15103909997889
1623044_at,5.0321684299938,4.79350426437719,4.99558832505229,4.92932132996406,4.79843964608913,4.90000756678972
1623045_at,13.1399585023517,13.1086482614002,13.1405155496537,13.3794470723554,13.3313746439679,13.2963620559084
1623046_at,3.9410268914981,3.81071732450157,3.92088739948666,4.04857260741483,4.01257167854678,4.12816975916309
1623047_at,3.96567271568369,3.91113975831871,4.00173704476249,3.99284549753874,3.95563819376715,4.16367069360371
1623048_a_at,7.42729521965718,7.23625018861162,7.35534277102725,7.04288303922538,7.24650471234983,6.89474987348887
1623049_at,4.33522824796347,4.27805846050277,4.38031657835041,4.27954164604319,4.36646903718008,4.56162210281193
1623050_at,8.05003394798784,8.14519437310288,7.99349757269188,8.40224825878332,8.19685929988236,8.08540939147104
1623051_at,4.13453704805479,4.11759381637972,4.05308665698831,4.25324576960848,4.2487385188084,4.21508573318565
1623052_at,3.93528901054453,3.63680709217641,3.89778391337209,4.03128098330433,3.8557223253756,4.15583242980157
1623053_a_at,10.4748673874988,10.4666321079508,10.3114672327821,10.3535479925042,10.4938348624609,10.5236195264355
1623054_at,4.3702974455325,4.35296226756013,4.53873399011986,4.13794230672294,4.20420644116599,4.56238461078941
1623055_at,4.43417225516079,4.23509062816785,4.35049017493242,4.36033075057218,4.14176854092262,4.37277531707751
1623056_at,4.91772435793581,4.61437908066567,4.91391618111659,4.84992457181261,4.75513280551557,4.82826705946688
1623057_at,3.80188608758143,3.77646516933447,3.97512399003598,4.15201037074183,3.80318009136261,3.88922361461106
1623058_at,10.0737406011587,10.2564372782636,10.1321031407587,9.83552841247123,10.2450924058121,10.0815977118517
1623059_at,3.49988294536947,3.3403112221227,3.5488679039673,3.61018039143473,3.46987347480896,3.55318449921469
1623060_at,5.13455629047939,5.11676674931841,5.10984011586771,5.04374349763868,4.8442450811545,5.18227054371791
1623061_at,8.67831103370268,8.59993251101951,8.69838726876347,8.54644636194077,8.60942905410522,8.65780469445886
1623062_at,4.45452903608829,4.53265696685058,4.50373330964288,4.56947192626851,4.27858493217294,4.37113513165996
1623063_at,5.88085055739141,5.88683975872678,6.27834688659685,5.86103570014262,6.03148624533149,5.74961486936448
1623064_at,4.58244172261961,4.51036112934491,4.57542953176032,4.67767835428809,4.47995750526997,4.62155654343695
1623065_at,6.18297877160253,6.21175237395472,6.42460816619502,6.53554948570988,6.09005279843872,6.50406015458079
1623066_at,8.58630670010902,8.41113205192389,8.69989591147401,8.11404028544655,8.42586065445555,8.58709221041528
1623067_at,4.40104877095641,4.63165386788715,4.16260533900142,4.51560481124374,4.30642316074779,4.29248411860369
1623068_at,4.80180858548732,4.72201720371558,4.75782927225224,4.87165413129726,4.63890353318591,4.83163378826719
1623069_s_at,7.15362355901052,6.98891996809942,7.28256121316963,7.11249833992963,7.23589653912771,7.36836951449024
1623070_a_at,6.62011458412063,6.68358751735016,6.79522149009209,6.30617361661578,6.46189054338809,6.5870466838291
1623071_at,3.74715249631329,3.76991505852558,3.8615206622686,3.93197605715677,3.76685265600536,3.80727970989694
1623072_at,9.10038882904997,9.27256892913972,9.2604719339555,8.02653981448959,8.13290745302597,7.82584880277774
1623073_s_at,12.8218290086604,12.8442567214452,12.7553346991751,12.8697600656643,12.8779563794709,12.8297098878239
1623074_at,5.33087479517125,5.11115337966865,5.31784189975502,5.22813032185657,5.15194854182022,5.42537340816928
1623075_at,2.98025183173565,3.10356345668114,3.05076507309754,3.06087447009058,3.28458415950547,3.16534537715719
1623076_at,9.34783526249772,9.19451263635681,9.22924623935768,9.83179615198534,9.39906405813106,9.45719985361787
1623077_at,4.38096571574684,4.33866841539909,4.35624826740399,4.18109514506243,4.25160253854186,4.19827824287398
1623078_at,3.78135500842285,3.60903082154775,3.86506809638418,3.71597387650859,3.60783211988247,3.63365666369588
1623079_at,3.51883613532694,3.44018662970898,3.54793442807128,3.48430108194461,3.55921723599542,3.48391220635447
1623080_at,9.85571304507569,9.64029404038271,10.1062101274663,9.14908881674829,9.33534831812254,9.33598462421562
1623081_at,10.6805847629032,10.6539779825289,10.6386910068508,10.8529930746081,10.6998178010856,10.6056503927888
1623082_s_at,3.27201969372025,3.24184291877129,3.40308584732246,3.40887469821768,3.41973115617564,3.19215692597962
1623083_at,8.06382667224707,7.94199937534179,8.1309897177144,7.91835953674891,7.86437346351695,8.10410166622868
1623084_at,7.65094758262653,7.76976046461266,7.8459927072987,8.20113377564735,7.76544544825938,7.48101814832461
1623085_at,4.39568378697146,4.43374915387811,4.26736053552151,4.76514320135145,4.8851715469182,5.00331330291319
1623086_at,9.00861852930328,9.3019567958483,9.06810503381793,8.93766064243692,9.15227422865411,9.09843539066594
1623087_at,7.14731381485124,7.29390284945366,7.11568941071257,6.80780032345312,7.02518678913649,6.95710874817941
1623088_at,7.2275772461278,7.49515866367431,7.03650415698907,8.15678018038956,7.81675407986322,8.08575320515012
1623089_at,4.29879817705927,4.06125599172941,4.11195983113979,4.11108630073887,4.05476841372761,4.14113588444595
1623090_at,9.35936227295378,9.37445948999994,9.19017749207503,9.78601481251218,9.52334188407591,9.52999213401655
1623091_at,4.496707291756,4.42184696471521,4.43851717230637,4.69312492115659,4.42608929328456,4.39596968534529
1623092_at,4.80456611373309,4.99347763204352,4.96280671550018,5.10994894300011,4.95302821651643,4.89308058408887
1623093_at,3.99035196688464,4.22920095066387,4.19876627394067,4.15364626764116,4.12742060468812,4.26108124140412
1623094_at,8.42691017487412,8.27562361033645,8.74541660563315,8.39582967506133,8.56556140196738,8.63354649725787
1623095_at,4.35555522565272,4.3040400328195,4.5162623618431,4.29955805848943,4.22159443746856,4.37073130726245
1623096_a_at,5.7868190116525,6.04616935834503,5.62072126025586,6.05433791574526,6.32666262297995,6.0670027221058
1623097_at,4.09689950604569,4.12139086748762,4.07531182414015,4.11582842343278,4.17282882610143,4.22803735088172
1623098_at,4.08438405060313,4.09396386645819,4.07857058443079,4.25273613821681,4.08824122948261,4.15960607719973
1623099_at,4.09065564816192,4.14545376179981,3.93601462555362,4.00748441772382,3.8761826091838,4.00834440449238
1623100_at,12.307577647874,12.5602687330097,12.4415012501508,12.6087959270461,12.5269482559243,12.5692600179117
1623101_at,7.24216865170969,7.46310148814073,7.22079894018338,7.58502789316776,7.50980504297918,7.23286843628646
1623102_at,10.1098678598849,10.0642678153373,10.0339083566925,9.93211326742715,9.62103269473807,9.68048651511811
1623103_at,7.7690218154438,7.70739894388668,7.86467862926739,7.52560438469822,7.46661253980152,7.50739612397996
1623104_at,6.46905196906278,6.83325063820944,6.50684396724909,6.83032052611733,6.89775234070227,6.79625936564718
1623105_at,3.84663550799842,3.82281736287154,3.92225077971424,4.06102471467413,3.9993384757086,4.24757983687321
1623106_s_at,11.032270206389,11.2184285754692,11.1150688818874,10.9808700034251,10.9078687719469,11.1258060114202
1623107_at,4.97960943799253,4.74569351755283,5.00562485947418,5.13224344007554,4.73687026410226,5.02992770930115
1623108_at,11.9382813554438,12.102898625596,11.8755609172567,12.1078902948361,11.9613014697191,11.9958552980847
1623109_at,8.65409388104744,8.45973365587417,8.48872464071035,9.07776845699779,8.79189563687318,8.75400986394395
1623110_s_at,3.33787351257984,3.49935264655187,3.40796361190324,3.17425376089738,3.45828818556323,3.45276401678257
1623111_at,3.84097865416762,3.7038764038632,3.55737978320561,3.71490696719261,3.59426577757421,3.77592167086607
1623112_at,7.3215227842131,7.26321175144285,7.36605939668358,6.89173001042356,6.99120099043657,7.19503442598421
1623113_at,4.49748958218528,4.40392950313541,4.43155246849671,4.55470289296821,4.55953843578946,4.45602261501477
1623114_at,4.52656455855787,4.56338349844509,4.61073971417459,4.88580321050581,4.59205894041038,4.69159118813183
1623115_at,3.64652001821068,3.61978356476459,3.58432025994317,3.50209460101583,3.75200790593773,3.61693433942634
1623116_at,6.05798203629783,6.40620689331925,6.62091634386736,5.83109656928917,6.68248660138135,6.64784467901758
1623117_at,9.04410529624451,9.09406294896698,9.08390594059196,8.92494297433725,8.93023800181325,9.05209109202427
1623118_s_at,6.51519810865582,6.39979498791671,6.51680312506797,6.48010732056528,6.52522122501316,6.49741743224049
1623119_at,6.84016406458344,6.67134279268357,6.90608495479132,7.00318901775881,6.78113396583996,6.79366335432381
1623120_at,4.48183466421581,4.40654018003841,4.23973879566972,4.74752634565148,4.42850940774224,4.35149368799098
1623121_at,6.59272899506623,6.618572355085,6.58103003165614,5.28658669155971,6.56724684086162,6.66989897649425
1623122_at,7.41127507685442,7.4970449392988,7.44927253424894,7.80496125450513,7.5640728125475,7.62675331526444
1623123_at,4.60968865942878,4.56374604611276,4.6230101482499,4.81308047696397,4.75309739659566,4.76047222206721
1623124_at,8.00373472282299,8.38507694310205,7.99042341366264,8.14363581432552,8.24490195588688,8.05842923999606
1623125_at,5.21193478630981,5.11156173023322,5.26068994950006,5.16920012681722,5.06133495202411,4.93006474841108
1623126_at,9.1447845587307,9.08059568322551,9.12245530295875,8.53231458678625,8.46226652686674,8.6791206281351
1623127_a_at,3.23708652395143,3.3138131310567,3.34249093177739,3.32815118839211,3.29808996074965,3.29891884711342
1623128_at,4.10694612159758,4.21430473237575,4.06073860768291,4.2722515066287,4.14652573028082,4.19837772021422
1623129_at,4.63454523449126,4.60308773166552,4.71736920976473,4.81546520650314,4.48465880512994,4.8106758195124
1623130_at,10.8773947710255,10.6046761792516,11.306157237679,9.81480391252738,10.2346736113914,10.2902047997593
1623131_at,5.47173296374718,5.27217630964738,5.52880691321832,5.54943465269024,5.17894827497501,5.42756181668264
1623132_at,4.03652104625357,3.8417792397409,3.91590190284079,3.80330250865869,3.7025836826574,3.89486391696406
1623133_a_at,7.85843314237804,8.11495515338731,7.95790618820602,7.7311064103073,7.75056764912593,7.48888026718802
1623134_at,6.97999763527893,6.04091777302058,7.3783479739264,6.18551730959047,4.59294666889101,6.15219813685925
1623135_at,4.79839276633727,4.73173436868565,4.90576206720746,4.66318023365074,4.45017445954139,4.86532533801049
1623136_at,4.37673990469089,4.53225592644272,4.59379920293029,4.52099126759624,4.41802703487343,4.31769781342366
1623137_s_at,4.52906331871028,4.27234908147707,4.53358850680961,4.12628776414907,4.4031129192573,4.46881699545193
1623138_at,9.80724352207827,9.94880356113804,9.65219174785173,10.0634004545524,9.95425333729689,9.81567577887801
1623139_at,8.63477401792478,8.77797307075504,8.69247123210734,8.93737445240872,8.86390812633275,8.85553732715616
1623140_at,3.9122220778852,3.72381117306604,3.76787999252543,3.98185146478004,4.12971908517108,3.82703245173002
1623141_s_at,6.42440746607482,6.26908414302463,6.46586113486724,6.29934391813017,6.24432242460635,6.52893533264642
1623142_at,4.04554280023577,4.06070774436783,3.96045670260503,4.00018535544707,3.8925613530924,3.95220215795613
1623143_s_at,4.03930705198944,3.95981729494307,4.10859122999725,3.97666046195453,3.74389214944855,4.04733261330647
1623144_at,11.7376511700868,11.93451665497,11.7906249849187,11.3895900997828,11.7878903353054,11.6549884453769
