,C1_8-1-08_s1.CEL,C2_8-1-08_s1.CEL,C3_8-1-08_s1.CEL,E1_8-1-08_s1.CEL,E2_8-1-08_s1.CEL,E3_8-1-08_s1.CEL
1616608_a_at,10.8417504922776,10.7994786129988,10.8925830441377,10.3100605219706,10.665273119262,10.6470064721654
1622892_s_at,9.06808094620125,9.20623543528466,9.06533508817197,9.28011769872126,9.56874201120508,9.36718208148734
1622893_at,8.34830927388419,5.49563021692917,8.36646473181558,6.60982209282892,5.99356068114597,5.8145331723121
1622894_at,5.90002082764942,5.69387326597443,5.75113233629396,5.82860120467666,5.97503035280569,5.86646663946874
1622895_at,9.86899183112537,9.93959029356076,9.76059628769576,10.2042258712909,10.2081966807086,10.1089088408753
1622896_at,7.59675455545859,7.8661815679827,7.57413269351999,8.00858328340813,7.71208828883716,7.81051739261363
1622897_at,7.11864489733087,7.15051688939332,6.76096542141547,8.13290299269361,7.72457791035156,6.90598640505721
1622898_a_at,10.5242078081838,10.4896916700845,10.4911162091582,10.6801147946662,10.5111119439476,10.4925847566165
1622899_at,5.87678538101729,6.17577172714628,5.7613980071275,6.15626858750413,6.05211908460143,5.98064270993376
1622900_at,3.61232188921313,3.57239778284727,3.58716667775642,3.78120867638405,3.4443953920986,3.65670807202569
1622901_at,5.39776755056307,5.06859054458601,5.430316591037,5.15260220965154,4.99272948223027,5.2185278564706
1622902_at,8.54564540448667,8.42049038258486,8.80457140393704,8.16768712239446,8.19037093183437,8.16095248728129
1622903_s_at,9.48265625780635,9.51023808597889,9.41978824425882,9.56102753714865,9.65243750368078,9.53874065040895
1622904_at,4.95951846580039,4.94858869023897,4.86385343784323,5.06302126359529,4.84455386273594,4.95133259417552
1622905_at,3.46277646719376,3.41655596515073,3.26371790474606,3.66106731976806,3.26027750860259,3.22193965423478
1622906_at,6.79655665746213,6.68299305040927,6.94725051904881,6.59294701696909,6.83785720563598,6.66968562008734
1622907_at,9.71088386102636,9.58554825709536,9.6966563652638,9.53165277718489,9.43742965963592,9.6522238111206
1622908_a_at,6.96783878463572,6.83976742327,6.89994697602689,7.17796101016514,6.71009777687679,6.54851859592709
1622909_at,8.39433496347904,8.42774917817116,8.58323569175883,8.9884567562803,8.43708424143506,8.62821220808719
1622910_at,3.8739902742927,4.02005356808145,3.87098266961519,3.94903885603083,3.95442353598255,3.82204711698556
1622911_at,3.51651637497448,3.23591792388292,3.43661885697368,3.53446719243078,3.3615093669505,3.3017205529167
1622912_at,7.18283866662766,7.44647319729733,7.2150069482801,7.25552268150672,7.36597745443944,7.44674952604427
1622913_a_at,5.99460677090838,6.20567714200061,6.21196630174691,5.51589068502656,5.95986807776289,6.03596137538626
1622914_at,3.88475188158311,4.0481839981838,4.07812285351687,4.06844173926521,4.14731801233751,4.0939586406518
1622915_at,3.64229219018297,3.70548824770555,3.75591635891883,3.68894741417439,3.62477410508876,3.66226026886123
1622916_at,5.32294412293373,5.34951252935407,5.25881797000039,5.26655776564276,5.16214190055558,5.16922506152235
1622917_a_at,3.81887592986392,3.73179758184488,3.65264786668574,4.10135028349375,3.91723701588502,3.84916039046115
1622918_at,3.68728044596048,3.77624830751894,3.81709025740785,3.75171379343634,3.84623076179495,3.79228753131501
1622919_at,9.45423276273518,9.53158178869907,9.76623279423366,9.07090470982642,9.14486691800406,8.86742180107365
1622920_at,3.91295006013755,3.72298017507762,3.82378327565918,3.74278306446435,3.90494220533618,3.83793050854612
1622921_at,9.68030038654644,9.57518694194316,9.58534939944769,9.9437747059865,9.67853905945666,9.59350792041827
1622922_at,3.98873239155296,3.94680332886594,3.70475567474228,3.6924465554617,3.79100123105335,3.89338188039489
1622923_at,8.18599598846677,8.08621549574015,8.16359690449512,8.38627746363118,8.19655900809072,8.1871474370411
1622924_at,4.31286133095462,4.2889297720587,4.47881110463424,4.558082466752,4.17756275877019,4.17925399494922
1622925_at,9.22782895107713,9.26214999508053,9.1823715685915,9.35560056751655,9.26065753700765,9.1570228667097
1622926_at,7.15313744868605,7.53490948507685,6.9452131131566,7.24055414542833,7.57871031501043,7.20744355173169
1622927_at,5.78674296990722,5.56911473092796,5.69425570768597,5.62200455417062,5.49651526016232,5.78008135989483
1622928_at,8.85813907490571,8.90397804825532,8.68986041060603,9.04850698694005,8.97100181668036,8.84929905377614
1622929_at,5.11734154468396,5.07883816237534,5.24791826577348,4.4654565984528,4.80120767490986,4.82017515567493
