,C1_8.1.08_s1.CEL,C2_8.1.08_s1.CEL,C3_8.1.08_s1.CEL,E1_8.1.08_s1.CEL,E2_8.1.08_s1.CEL,E3_8.1.08_s1.CEL
128up,10.276181163233,10.177811246705,10.2632875534377,10.1753681863666,10.1318815272891,10.213953206537
14-3-3epsilon,13.3978819716999,13.5437265969604,13.3360769279098,13.293873793252,13.4611499603963,13.4099139238511
14-3-3zeta,10.3855714622863,10.3943685306008,10.4989828571761,9.92375028330297,10.2611746355064,10.0876790202024
140up,8.4648416036567,8.47403193905986,8.24046229883166,8.72122469599789,8.50622972540715,8.3227760893291
18SrRNA-Psi:CR41602,6.12084939124013,6.19982017027084,6.02601112834857,5.58870579352402,5.60191759964988,6.03605414050883
18w,11.5140199969753,11.6046122753965,11.5351154548557,11.3641164909125,11.6480676364232,11.5319406819202
26-29-p,8.54473514957882,8.85112064133077,8.21981383393563,9.11647792983799,8.68238686657313,7.93736218622949
2mit,5.00418864648344,5.02413243017475,4.85763921618706,4.78847682873552,4.99962892299582,5.01193978161065
312,4.404591251659,4.4593500638648,4.40848624871324,5.89308026093481,5.62709477134715,5.43063822060942
4E-T,11.1533760484834,11.1603861194919,11.1166147756472,11.1621943139251,11.2063420400354,11.2391696523127
5-HT1A,5.74631564144453,5.84017201551727,5.81320501864031,5.40977586997871,6.10473706261105,5.50858523654887
5-HT1B,4.00438709818674,4.08386611799809,4.05675614483108,3.99751829522976,3.99121451049091,3.97128820618937
5-HT2A,5.53299210264135,6.53060381350412,5.3411922137419,6.15364181145886,5.84245227826121,5.60133923737561
5-HT2B,4.65603858424774,4.60210891630652,4.77995913902295,4.56653509484085,4.65500975638228,4.73589033203188
5-HT7,4.70748069572439,4.74184944711962,4.97640103604296,4.13420380772365,4.73010452924152,4.54505847552249
5PtaseI,6.92877161025156,6.90271929045837,6.85663525840319,6.60799730798785,6.87510677137312,6.74997285931206
7B2,8.37715502034234,8.22843190665479,8.57667853820882,7.84652709823074,8.04651379525249,7.78650118244442
a,9.05185306464366,9.06053824348522,8.84030698986644,9.14230959031599,9.24598488116261,9.22713538357495
a10,5.1298618919277,4.96436830572557,5.18330260468544,5.03478671158355,4.79438486855219,4.94079759919259
A16,9.28083819350299,9.35474417075692,9.22925078034858,9.55461872343039,9.47625747278869,9.24942826831213
a5,5.36513528800406,5.26442599288389,5.23544789491624,5.62180807700072,5.3058182653772,5.38813650481978
a6,9.25190716411517,9.12483639357807,9.10978030027842,9.31842950456192,9.23716983650116,9.06592516054028
Aac11,12.307577647874,12.5602687330097,12.4415012501508,12.6087959270461,12.5269482559243,12.5692600179117
AANATL2,5.49052389836564,5.48878487617157,5.78160269385652,5.55030208214528,5.61697351891164,5.77532568972174
Aatf,8.65663277425041,8.67424296535675,8.47816783643533,8.85650970204262,8.80827581365474,8.70898369321102
aay,10.6211098932734,10.8808584672823,10.501230329967,10.6990329698051,10.673681843929,10.6816959016664
ab,7.49382711632224,7.41811541769166,7.58393631023468,7.35307769745207,7.48249744995718,7.51213999960019
ABCB7,8.51514935996426,8.57118604679483,8.61961908558308,8.65336717458889,8.59645231052039,8.55064893459167
abd-A,9.08272990764591,9.08137777191637,9.23641947140507,8.74062519108043,9.12975154863,9.06763814921273
Abd-B,6.11672949977967,5.96298263250294,6.07381565698614,6.07150267882505,6.02938566418564,6.11319345049582
