,C1_8.1.08_s1.CEL,C2_8.1.08_s1.CEL,C3_8.1.08_s1.CEL,E1_8.1.08_s1.CEL,E2_8.1.08_s1.CEL,E3_8.1.08_s1.CEL
Abi,10.7326962632513,10.7784856514651,10.7272466717575,10.7164790656618,10.7336587900341,10.6278790435395
Abl,6.77787610557294,6.91379970051675,6.55225919967381,7.28262066709234,7.3148751426612,7.41320664838297
abo,7.62048917508016,7.65024324906898,7.49453890255195,7.93192478335419,7.73945671764013,7.63786920060605
Abp1,10.5037587033862,10.6004776621418,10.4264028833995,10.7175264303252,10.6566200611382,10.681524830216
abs,9.18086610868965,9.29876923221212,9.16296518859369,9.25680865163668,9.32869647897421,9.14504497577006
ac,8.32070539634546,8.46707977445517,8.20114325576373,8.48730730626327,8.80818322922475,8.45197567481414
Ac13E,5.48800748059065,5.478015044401,5.38808953228161,5.60581326900687,5.51271198978113,5.58567500158795
Ac3,7.98680603384106,8.02756051810202,8.17821969805641,7.65814723161992,8.07906323422359,8.0412685350817
Ac76E,7.53839513076777,7.36052881734775,7.99102748806242,6.76707917605484,7.53039928774411,7.32759000518863
Ac78C,7.39304817324607,8.07238864037816,7.1881048171992,7.37892237781595,7.84824532049426,6.41193139250101
ACC,8.9895027418645,9.04962091373623,9.32538858019935,8.63107547373389,9.03473178385971,9.02187735068764
AcCoAS,8.45395917244232,8.45908958357367,8.59025038648182,8.20826474663602,8.35373772163535,8.52749252719855
Ace,6.61328126815227,6.71125034552062,6.85024525938592,6.20328087835918,6.50035204910475,6.18793190303522
Acer,10.7222394073357,10.8763173597193,10.6292198472513,10.7323145287535,10.8192916890752,10.7674593565065
Acf,10.3511879658897,10.8072875730171,10.4308491377684,10.4726472650788,10.7221804951458,10.5511125681427
achi,5.47528647109829,5.61596775711264,5.40057673695035,5.69656017178235,5.80377776600232,5.64148820213236
Achl,4.82317818928483,4.9061833318871,5.06629200203495,4.77850441569025,4.79470047388689,4.61035444139595
acj6,5.10871586485444,5.18456512478491,5.2384637672315,5.37250961693258,5.23771816144388,5.24523758730011
Ack,9.08903197882297,9.29593663209599,9.07852718285604,9.32082392828105,9.32027587426346,8.7612091510529
Ack-like,7.64252696379364,7.67990302979478,7.62541485254333,7.33573499238353,7.82616599074699,7.64837729605675
Acn,10.6917455657533,10.8695072031513,10.645624996649,10.6231773167339,10.8077280861996,10.7268872508906
Acon,11.2092907372994,11.3527188738002,11.2713106387368,10.8574205576911,11.1822066514621,11.0610637185274
Acox57D-d,6.67389867871341,6.72196424997251,6.5310809277831,6.65841120574958,6.62366156115337,6.59486277639171
Acox57D-p,8.16698044274434,8.18151637955413,8.18895084075148,8.08425023078645,8.06087715549643,8.00731444133941
Acp1,5.47289411039569,5.17368252179759,5.3905650790893,4.95603593755259,5.03609216115843,5.03791180858872
Acp26Aa,3.3882246508424,3.52195998804745,3.57896234501919,3.57818773537569,3.51301554366838,3.48134459774501
Acp26Ab,3.3473349986565,3.43979301992387,3.32104284695307,3.2679111274404,3.47314263827528,3.43009989384617
Acp29AB,3.64836012736525,3.70005907580189,3.57350190215036,3.74171370508208,3.58087695221994,3.63248427596212
Acp32CD,4.79749430659345,4.81322435532032,4.66736175799545,4.87293064296996,4.79959260075502,4.72048562619203
Acp33A,3.52589122395111,3.48020898149946,3.52926366551635,3.61895530879353,3.52568350813078,3.60107381603544
Acp36DE,3.92921785099011,3.85168682844066,3.75306947309119,4.05685344018397,3.65874011615066,3.71782993914771
Acp53C14a,3.42546545980892,3.387289706567,3.39153416004908,3.50506645113874,3.43807159242143,3.48442935924993
Acp53C14b,3.77044337865328,3.5889787154727,3.5902322366703,3.78233373270723,3.7279702075238,3.76017537810445
Acp53C14c,4.1443055309344,3.84922769990346,3.95340257543773,3.9991052413951,3.83583512594377,3.66522144397469
Acp53Ea,3.41611837321609,3.5123601103486,3.51327515911773,3.42752399779763,3.48296661264951,3.60952631956552
Acp62F,5.01261237092844,4.83007269524265,5.02758732227295,5.07621438272322,4.98128612219203,5.05039699748629
Acp63F,3.28374461247064,3.20884861628909,3.24624888245972,3.40690742445712,3.2491629854852,3.27179874927993
Acp65Aa,6.84297959727218,6.57946545879993,7.10870352013212,6.29544603090992,6.62233391481333,6.52211292591478
Acp76A,4.48782587899403,4.26915962637264,4.48256874346593,4.62372417630051,4.29520807019816,4.46264908882928
Acp95EF,7.65736750412118,7.54931805343821,7.60664804181478,7.43191724450577,7.68686788376025,7.58093367538061
Acp98AB,3.40271382682365,3.373184816393,3.40221245224859,3.40682843356534,3.51902233294922,3.42380240414164
Acph-1,10.0083057955436,9.78315836743124,9.89094090806627,9.68217179330675,9.44647095477104,9.69785915625806
Acsl,9.82786783268426,9.83024937253754,9.86802700646067,9.44142506225428,9.77031770315251,9.70061344870229
Act42A,13.1640723412379,13.0884874867285,13.1537292222665,12.9643671442211,13.0534225469007,13.0771559708833
Act57B,13.9814587873187,13.9507465674239,14.0404564862804,13.7762377324897,13.8780647604129,13.8960941123429
Act5C,13.4359298587671,13.5088950201629,13.4828460621248,13.3528577272832,13.5483594456349,13.5978619713577
Act79B,4.89968223800163,4.91786596719712,4.92563819994829,4.75810442210554,4.87302560767527,4.82417596705576
Act87E,12.6555815719107,12.6540963034931,12.8255541085514,11.6537477228576,11.9930082835095,11.9435317571121
Act88F,4.40268539274613,4.35479682896932,4.43072181823256,4.32384176612799,4.25211902849805,4.54358287641732
Actbeta,7.53547336136186,7.46485217494967,7.69789538213427,7.14564183550413,7.69765077356431,7.51242353353814
Actn,11.1553386182994,11.2104227500486,11.2695821670179,10.6765976438897,10.9153102697286,10.9940294281595
Actn3,4.40366468600935,4.20907472402131,4.32025174659635,4.63905848344158,4.33795611519764,4.38692325331674
ACXA,3.39382088800409,3.36788585357952,3.21664851370686,3.57965599498407,3.39599917167092,3.5165846045984
ACXB,4.03955281002506,3.59423934466233,3.99740381705415,4.11806375217135,3.94223480187152,4.10432213405564
ACXC,3.8738022518196,3.9974554383136,3.77089131496754,3.93017342444876,3.92502660687504,3.73642195006399
ACXD,5.88864419770841,5.80404800832514,5.7568332053415,5.81030894816484,5.54155144486159,5.7426163162472
ACXE,4.54107538036463,4.41173871690181,4.64251382920198,4.6498477127824,4.42097212944268,4.5811317399985
Acyp,4.29184435985832,4.20129040321194,4.23830195359784,4.40871032981603,4.17052795787925,4.19410804256625
Acyp2,9.92407561048918,9.87777055527285,9.85219628349483,10.0031864752315,9.8657059523336,9.64418659922327
Ada,7.99936809609777,8.27619319526724,7.99606216086015,8.52004272666022,8.33823872770467,8.35774180075576
Ada1-1,9.36518199466606,9.35910792661257,9.17183869878079,9.70341229465868,9.50759815848147,9.41322071892636
Ada2a,8.25501031405625,8.3579244329129,8.22565021734724,8.54858935440952,8.63866688205566,8.66533597885495
Ada2b,9.21115117185447,9.17543421620594,9.02481359128102,9.3721389987362,9.22193788233564,9.03970291895721
Ada3,10.1274168590984,10.1724579287477,10.0377900244138,10.19975383893,10.1137601122163,9.97039920754762
AdamTS-A,7.47635886469675,7.33136538355721,7.44762855154369,7.15651464601152,7.24936683802435,7.22062352503223
Adar,8.09757634505145,8.27074001665252,8.24994967331571,7.5275412816118,8.30770105182526,8.43157452263436
Adat1,6.90122468560885,6.9505337772389,6.9307143740733,7.12950901179633,7.21569598838903,6.97644849351354
Adck,9.51320341060754,9.54867708738102,9.53830010363516,9.65501137033195,9.35572087033467,9.5702878041146
ADD1,8.22011028106631,8.45029053911467,7.97610759012144,8.38553139775935,8.44606897364111,8.27460930994689
ade2,8.00371557084928,7.9432727990009,7.97792403032183,8.05688051087611,8.07173714700641,8.0164136838026
ade3,8.30258810814809,8.1537259406368,8.29391115629415,8.38806760002088,8.2394127264834,8.47577016669303
ade5,9.35374607229219,9.27383912003521,9.48306166062808,9.36553855123718,9.44605829958249,9.46372912910758
AdenoK,10.5773708031884,10.5733639915628,10.674598464026,10.1894259575714,10.5505571514964,10.5587667605856
Adf1,11.5478668909762,11.5538829007792,11.4990246829909,11.551806947121,11.7321578857683,11.5477293022433
Adgf-A,9.89366456072378,9.69661452228195,9.85465198780674,10.2159044577977,10.1125590554217,9.95858970327126
Adgf-A2,4.33071151560915,4.18961339542128,4.35311796205454,4.29864105127232,4.24626424897837,4.20275525148808
Adgf-B,5.7850771647828,5.47582218921144,5.60708558118845,5.70004622473381,5.45320152882522,5.58707479897237
Adgf-C,5.35115578670331,5.3059688115442,5.71534409341166,5.35956263447471,5.16996279359589,5.40199466803922
Adgf-D,5.37758807064952,5.34760913076434,5.33278178193228,5.68098634951769,5.41567509376103,5.43764054898406
Adgf-E,5.81887055052239,5.77558552640357,5.6360551092094,5.68006754515391,5.73365100685533,5.68652354268418
Adh,9.49389260574725,9.43885082720957,9.70400023772536,9.20995414803706,9.12921593561317,9.28376446803463
Adi1,9.4201534514271,9.37455103080984,9.35306176209188,9.2424732407663,9.03401945670543,8.88040022279052
AdipoR,11.0901627593874,11.0398260715808,11.1257533856826,10.7705082692395,10.8591633740357,10.8190977065468
Adk1,7.5183718020554,7.28378834912859,7.83852192835091,7.06555304307764,7.38121084032428,7.43235757309987
Adk2,11.7703002333985,11.7664617390692,11.7944156860246,11.7502221516238,11.751595043474,11.6871705674755
Adk3,8.83366794104069,8.67409577646952,8.8534861344355,8.50502627668335,8.55842225649739,8.7065379290308
AdoR,5.31239662400936,5.12200511936809,5.42038267861168,5.20200098919762,5.06716636073683,5.24071726291175
adp,8.53932026170031,8.56014417395254,8.47415940356102,8.30654236096178,8.44970264564118,8.46561415168191
ADPS,7.68173638812017,7.73566752723383,7.62803503487235,7.97603680444464,7.95974565008908,7.91265880634393
AdSL,8.94916398044921,8.88681585683442,8.78618274323935,9.11679216789549,9.01817015554406,8.90434348289682
AdSS,11.4299008917448,11.4609749426324,11.3289910939032,11.6820525536558,11.5971750989197,11.6107546658603
Aduk,8.08159727055919,8.1079664174296,8.04604688153126,8.09891000408627,8.15419141078415,7.89945711377471
Ady43A,5.42972735216764,5.7332584685431,5.40729298300234,6.01149871548694,5.51758206849868,5.82095254197429
Aef1,7.34746140043194,7.36546252307501,7.20630158098725,6.87346237785045,7.29933956923684,7.08521887797843
aft,7.2087875778023,6.96047186182871,7.10088173946279,7.69195049075563,7.50867214884816,7.23146302913581
Afti,7.23593383523802,7.49944509031783,7.33152698893316,6.95349741194325,7.31626635976196,7.37470361560601
Ag5r,7.01699407416142,6.63841706306661,7.19560863344666,6.63966503620981,6.56538481569205,6.89934251190801
Ag5r2,7.95858466582969,7.60292240204825,8.27468563585481,7.26860191302088,7.29934883895578,7.5673305002651
AGBE,7.43727351207029,7.60317528877143,7.47367051863109,7.78911935666176,7.43234154298653,7.37152998256916
ago,11.686622011224,11.8472561790479,11.6789715917318,11.7058502282157,11.8709998093783,11.6493830877475
AGO1,10.2332411093663,10.2949933971529,10.2567880422761,9.94404126836899,10.3056335045078,10.2884177675417
AGO2,11.0564626034917,11.1398706400258,11.0509852093111,11.0888452035255,11.2375887763924,11.2483187220097
AGO3,9.98793959482741,10.0750139934403,9.61299513378204,10.3808475476275,10.3387742842134,10.5498213694006
agt,6.97430624719641,7.02787642035335,6.62915379766454,7.51266534840916,7.28677805663272,7.43929984409116
Ahcy,10.8612803573549,10.666718507905,10.8446173767225,10.8478047382111,10.695334760891,10.8570003096042
AhcyL1,8.71285850714094,8.78863981673301,8.79367623863984,7.84422825826914,8.81487520055298,8.66986312182195
AhcyL2,10.1011117399253,10.0861143430767,10.2772937251667,9.8926581107365,10.0437851522598,10.1479609337053
AIF,9.40680699510615,9.44060585262222,9.41081343060121,9.52230919801364,9.61433550899307,9.49080041104969
AIMP1,9.6365366216813,9.61493891384024,9.58922560882281,9.80225083592962,9.62183416050789,9.6133909331286
AIMP2,10.2965152282867,10.2925952609014,10.2814369301531,10.4253415609688,10.2986471456562,10.209640695561
AIMP3,8.3001971108538,8.33765927953989,8.34376841130298,8.37282242361097,8.30400252627356,8.22116559955653
Ak6,9.7433463054852,9.73289192379003,9.73445205685139,10.0449404320823,9.94986338166783,9.81171824442285
Akap200,12.8145029802875,12.8658454263686,12.7952300879174,12.9106559070046,12.9245266076566,12.8301510355485
Akh,6.21674373119114,6.02029199648354,6.25495909193091,6.18384166427087,5.74718551785826,6.20990677126551
AkhR,5.16800273167263,5.09667986253425,5.30110454828626,4.92691019074788,5.2698064973415,5.16514705451701
akirin,13.4306367768421,13.4607345181806,13.408576187354,13.292750701829,13.0671963400243,13.0889114673279
Akt1,10.3055482073495,10.4570468910364,10.2579146564008,10.4177209612603,10.4587554649514,10.1798875170614
al,8.66463626246723,8.47922535293361,8.50265359843352,8.73125168667816,8.49135327853302,8.52824756352577
AlaRS,9.16580409848324,9.33556944049793,9.25867828091391,9.27933136925641,9.42038146946829,9.4531583954888
AlaRS-m,6.98489122608108,7.035251381482,6.9817629925762,7.16829109135791,7.02761690359475,6.93819193640413
Alas,9.58322235107601,9.55446869879833,9.66559819220067,9.55129233040785,9.48928385839714,9.3351640000342
alc,5.21090261747011,5.13347118683965,4.9108331193112,5.05404551802564,5.06904448688286,4.9633870176685
Ald,11.425619729468,11.3541740526766,11.4356803663706,11.3503979034746,11.386554612443,11.4617632348321
Aldh,10.7050617301717,10.5692176912685,10.9764014020264,10.1279261174372,10.4571850575453,10.5300021184081
Aldh-III,9.62228356578052,9.60453145795519,9.70478587713013,9.49425700893072,9.47037953400748,9.61598722208834
Alg-2,5.7738134688226,5.72918932639971,5.94220172091646,5.62146397101649,5.61981819672661,5.81631877008986
Alg10,7.97033651392596,7.71876032658575,7.99364477302674,8.13864391405983,8.10384820384072,8.0517543358391
Alh,10.087141288947,10.0600177944406,10.0278392265025,10.0214080388584,10.191983313764,10.0761963929997
alien,10.9155927044855,11.0933828858131,10.760898883917,11.3932073282808,11.1550837685331,11.1595111006619
ALiX,9.99033066883197,9.84802157567683,9.92398025979693,9.95580303091571,9.83207190487094,9.94437919302005
Alk,4.81779359010041,5.06337769672066,5.26694770235349,4.6589028228656,5.18011834869419,4.91162021922676
AlkB,9.19271274624812,9.17716026875338,8.93989472592891,9.83217562893364,9.6125666996687,9.64214157825679
Alp1,9.54021835576901,9.21233612431471,9.48170007363101,9.72044276071377,9.5581300036463,9.57578813986306
Alp2,3.70775060726685,3.78160056202902,3.65060742019872,3.77201698809386,3.66986790282789,3.64802874381344
Alp4,5.41444192285777,5.34885333507829,5.53013330064074,5.31781019650117,5.55176019855888,5.48607494894118
alph,10.0839349900783,10.2393066837493,10.0579554828612,9.92226408963436,10.2294427657317,10.1982157079587
alpha-Cat,12.3982175053477,12.4200377895066,12.3292633907363,12.4405483257701,12.5808704118726,12.6033095929162
alpha-Catr,6.55068854380298,6.64263918269372,6.83800619615652,6.36224885862406,6.43782592498922,6.27870800564806
alpha-Est1,7.84497657723532,7.67929571070999,7.79950397131156,8.01925642515423,7.83835605273809,7.88596662545095
alpha-Est10,7.29805868314436,7.52069218317998,7.36052314142975,7.21441389594539,7.30719104873729,7.46764253924047
alpha-Est2,8.07793228145644,8.00200566117541,8.56672419368959,6.67227524192724,6.89314682326968,6.8144123789054
alpha-Est3,6.96332663047519,6.88411055459625,7.18051796358386,6.94825534463382,6.70637984875417,6.8069454395298
alpha-Est4,7.50680374910282,7.47918985153893,7.75703313818406,7.33525090942795,7.14283244976548,7.18910454717054
alpha-Est5,9.06534125932193,9.20947736586097,8.75995052368532,9.00430739868036,8.9446146383946,9.01479530550618
alpha-Est6,4.79656156482914,4.87534365794567,4.68343772677755,5.10545120159578,4.94162582584368,4.97661080878879
alpha-Est7,7.61792995975637,7.30610288815198,7.55378177199274,8.92190977866199,8.84532514341887,8.91115511424348
alpha-Est8,5.58360602411437,5.4988062270244,5.80091633549638,5.30056894115653,5.55767777577792,5.31778633085263
alpha-Est9,7.08560178607949,6.67929781029799,7.06352879109031,6.2264665088785,6.66297079851916,6.77159431306361
alpha-Man-Ia,7.02901923421515,7.04529784944507,7.03666315160812,6.93303925338721,7.00195319127645,7.0060988206223
alpha-Man-Ib,9.41476143080325,9.6060711426822,9.50299475369091,9.3399169950768,9.49900098353125,9.36124902742169
alpha-Man-Ic,4.67352575058215,4.98429693936296,4.67569197838925,4.61826482981268,4.37503605136802,4.72588914012412
alpha-Man-IIa,8.86071360485694,8.87687951772523,8.82907549172465,8.95976511850392,8.99022670721996,8.92977908615205
alpha-Man-IIb,8.88918647667179,9.01115919830136,8.76401131335136,8.92621321804368,8.99938711191311,8.94799629618814
alpha-PheRS,8.79868691567066,8.79988568820609,8.76289027296726,8.82554907130782,8.82573205269491,8.77623590026522
alpha-Spec,11.443286678944,11.4621398587468,11.4509680516906,11.085686327698,11.479479876348,11.4630301216267
alpha4GT1,9.67707027914197,9.64900827672195,9.52212992018446,9.72256548001,9.65557037464892,9.76037300131742
alpha4GT2,3.39813248831425,3.30253826802633,3.36577423291041,3.40508908101681,3.45406780383193,3.55955585295871
alphaCOP,10.5177225211271,10.4660536245684,10.5414520148008,10.2625839991912,10.4387454512849,10.4480630173613
alphagamma-element:CR32865,12.3215396368807,12.1488043292769,12.3087019585313,12.5498181919258,12.5477475856491,12.6296056738464
alphaKap4,4.0856681950298,4.25086828803574,4.09458856686262,4.18005345525017,3.94201406483705,4.23451348615214
alphaSnap,9.49937462710878,9.34223089095446,9.53636836132178,9.31517621597796,9.45953255267151,9.33650885058398
alphaTry,7.79118378925847,7.28606719198727,8.08028469822026,7.42267015229803,7.28840435922329,7.75279623053608
alphaTub67C,6.25682636121875,6.33380371716796,6.07257249529754,6.73962803336813,6.40619591814762,6.18651841294026
alphaTub84B,13.8157814834714,13.8461554131269,13.7436012113071,13.7318231132087,13.7820635463281,13.7399740863542
alphaTub84D,8.34375770720218,8.75808783302674,8.4189561910056,8.80495579827702,9.00289201054603,8.84352386002687
alphaTub85E,10.1673283967592,10.0420640604259,10.1556272765414,9.89134150385139,9.78055835007204,9.82170567276397
Alr,8.38963798467955,8.3360582448596,8.47992510639732,8.59132867528809,8.43482837946816,8.4657787534636
alrm,9.3292842825429,9.38412280924582,9.4865793800882,9.26358529918037,9.60016660119944,9.47042739960858
Als2,7.68138681697296,7.53387936493032,7.62556995780108,7.75436406019172,7.82761703396844,7.59442076589457
alt,10.3966939600448,10.5802662289617,10.276102735722,10.5418133914643,10.5029029517357,10.4907170061084
aly,3.90948151952134,3.72048466888029,3.88557755790794,4.11821373594993,3.81353747843367,3.94110650671736
Ama,12.7942110355231,12.8621807651225,12.8163924319195,12.8527999893339,12.8990125014969,12.9754496847442
amd,10.1845691172132,10.2885949717234,10.2166831428572,10.2176082674291,9.97295929330763,10.3749421381456
amn,3.18172997918189,3.2794279538916,3.25550412885182,3.10392335272477,3.38978150939723,3.25807004791482
Amnionless,7.24029936333032,7.04942482188447,7.07188713924714,7.24057126368462,7.22819821216674,7.10676404491401
amon,6.31220078157991,6.30258171108824,6.46417825228341,6.13898648402212,6.60873633699707,6.09656351082857
amos,6.41915243828342,7.23109078813672,5.81450891307949,7.16991300838482,7.26217407557668,6.49825483787907
AMPdeam,5.87742723929846,5.85819077758365,5.8801176090265,5.41708792559572,5.85343705341378,5.91955113418197
Amph,10.8134925458238,10.8072232621874,10.8068631766617,10.2732033949654,10.6068458057258,10.6457802045106
AMPKalpha,10.3714314580496,10.2363011164361,10.4282974306628,10.3149551649299,10.3539764058717,10.3667123730323
Amt,4.11676456356249,4.33836449078099,4.09823410862422,3.99230727157649,4.18957919205631,4.14747419328597
Amun,11.3618635506907,11.6073551246087,11.2909018638898,11.594518897126,11.484351828942,11.4293235860424
amx,8.12397526223755,8.23043001906643,8.09927539802557,8.46637967309445,8.24614547361494,8.3652578089058
Amy-d,6.68419471655163,6.11587428619796,6.81756591639015,6.35519099150546,6.12696957728882,6.33235097101318
Amyrel,5.03182825082591,5.09396098359322,5.13265256820691,5.02972311614042,4.88301938275483,5.25527527072419
ana,8.65915816235669,8.88668066200957,8.74837909642441,8.49890401325917,8.61928729386118,8.61664113740226
ana1,8.97739778412547,9.07849405477633,8.90058106638156,9.0919746840523,9.18753983533413,9.05374186403162
ana2,7.0932600723586,7.26950792573528,7.00405487849138,7.67752915894788,7.2397877437682,7.05600897054572
ana3,7.58167861370218,7.77839278670897,7.60606124131351,7.34042114761395,7.78968988010382,7.56771020029198
Ance,11.2431557654267,11.154406714585,11.2628970993763,11.2761020141294,11.3165666359834,11.2628594847794
Ance-2,4.7927477555947,4.76295613306357,4.64514317167554,5.04074716639027,5.10630663865235,4.77055482040466
Ance-3,4.53088399164467,4.67227683138774,4.53446512788129,4.64964750504812,4.454088171532,4.54218475207493
Ance-4,7.02421867536362,6.55090168743203,7.22601083678384,5.96651294778779,6.3146335231806,6.46372017760243
Ance-5,7.89333074599879,7.83445731668878,8.07246847952108,7.75256817265279,7.91523408948522,7.91280985862639
Andorra,4.74663960980548,4.50210785854182,4.56614804224751,4.6210128921123,4.65593570169672,4.65914807587925
angel,8.54415597795662,8.66640612579752,8.57538232599686,8.84691085215834,8.66586041162658,8.49137965814436
Ank,7.52569540000962,7.5800162906923,7.60124689679098,7.21236707340721,7.46998406867552,7.44654303151947
Ank2,6.97595107620742,7.22108659728989,7.07704971824954,6.14167342423419,7.1859763931215,7.15838728845296
Ankle2,9.55907324280652,9.71187895510813,9.51557848289579,9.53525886266395,9.62991029179816,9.55498401833362
anne,10.5160107054676,10.5615978227196,10.5163446265279,9.59186827548001,10.4021234255413,10.4537161314047
Anp,4.52314815451955,4.55584847395716,4.6811614597481,4.04547705064049,3.86090756638762,4.16981212128252
Ant2,7.63440560974559,7.51693654183229,7.5734968402415,7.76319189934806,7.60074267166996,7.81272669522782
antdh,4.58511218795223,4.51084438210367,4.45014687821188,4.74812293408156,4.49998254490205,4.64507230817352
Antp,9.07952081997459,9.1144049641877,9.19121934243588,9.09122522575179,9.01814791564096,8.80501507941394
antr,4.65457608545999,4.51265956823711,4.40587168070211,4.56985276269602,4.42853317848038,4.75380189713858
AnxB10,7.58108397672472,7.38975664052565,7.6239855814442,7.48630924764592,7.36938774935553,7.3119385845762
AnxB11,11.3145588787304,11.1208577002049,11.2722531236986,10.9394655740529,11.1115283635474,11.1570966864843
AnxB9,11.2981582991355,11.1157854701399,11.1951754212568,11.1906690804743,11.0749510652072,11.2176844585176
aop,11.7752712361652,11.8951029001229,11.8112606989748,11.7005575291586,11.8461494717042,11.7256902990219
aos,9.32080776890222,9.42274479498193,9.2720580813665,9.46727482402166,9.59798714000262,9.51621729283046
Aos1,11.4830801794594,11.6062603630334,11.3096829152299,11.8188670109093,11.6609586127308,11.5073666283183
AOX1,7.86600091178787,7.56348427479853,8.00824537630703,7.39154267995482,7.73728936213093,7.56637980593704
AOX2,4.77647847125515,4.1999721995792,4.43878131160519,4.57910890661764,4.54715691771615,4.70782834658692
AOX3,7.4366028083173,7.42548478049046,7.33718870501292,6.09964362003666,6.07293700500799,6.10879911929415
AOX4,4.4081215499268,4.31817521781327,4.49385802457581,4.22678228664386,4.35468152057359,4.23561875380088
ap,7.04705173441456,7.08940639373252,7.05051906798739,6.71814574235069,7.14199923994924,7.05867735394764
AP-1-2beta,10.931856765521,10.9873998464011,10.8818507551593,11.0143940554509,10.9244344148592,10.9058200725847
AP-1gamma,7.85299580076816,8.04632497995404,7.93378212106734,7.56370176423468,7.74812798808794,7.80828333679612
AP-1mu,10.0082246702739,10.0074198957725,9.96553772960751,9.95834678388732,9.98105087905614,10.1658475734861
AP-1sigma,11.4481044020717,11.4078626749133,11.2622458604609,11.7399425549375,11.498211253593,11.6415168368105
AP-2alpha,9.83317781032363,9.83442054956115,9.89632903107738,9.60275239013156,9.79738700780464,9.68605032578208
AP-2mu,10.5178550636023,10.5775659394724,10.5750607071841,10.3904446232125,10.5640014104369,10.6004750012713
AP-2sigma,11.0035049873655,11.0588166945359,11.0074574616973,11.1139761011353,11.0928325676363,10.981770928077
Apc,9.52207125880673,9.4876961625597,9.58823193635781,9.90015018915964,10.1371768039037,9.81234967722142
APC10,8.59065167212759,8.73578130630067,8.60091541160602,8.92975254448752,8.85293781796598,8.54713550213505
Apc2,5.8268977851856,6.22368260159597,5.60980977300276,6.22519059240465,5.87422780114581,5.66336093369725
APC4,7.39343330304073,7.80581508559249,7.36006789857469,7.63748189898391,7.93662505959765,7.58170636824208
APC7,4.44923206344329,4.5673286187884,4.40320464607457,5.02440491313571,4.38116759136034,4.30503511827958
