"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Muc91C",-1.2160445406173,8.60312096040641,-12.2507716012766,2.68556856702583e-06,0.00084326853004611,5.4486187254214
"Lcp4",-1.35874669120573,6.52819128218562,-12.0397884310482,3.04913086933296e-06,0.000934631209804583,5.32511689562491
"CG17636",-1.30481747555489,6.07870877360522,-11.9090366556966,3.30210627645089e-06,0.000988635260535554,5.24731901094148
"CG11714",0.956723677517385,8.30688055012361,11.8340519740256,3.45778922099334e-06,0.00101171769161519,5.20225943486051
"Npc2e",-1.29067857063431,7.07230969575908,-11.7689339194889,3.59970513984863e-06,0.00102983564378692,5.16286349672583
"CG9149",1.19659918309213,8.7138932134705,11.612813861035,3.96740619498989e-06,0.00111035624683261,5.06739380248494
"Pkc98E",0.808073070975286,8.54595026421644,11.3293852303975,4.74809612913586e-06,0.00127569522948366,4.89031530360664
"Obp99b",-0.934606968208686,6.18494060062229,-11.3047647705212,4.82368517504853e-06,0.00127569522948366,4.87469945655189
"CG8199",1.07465700273264,8.9249947258636,11.2945475172601,4.85545022873227e-06,0.00127569522948366,4.86820790419719
"CG7607",-1.13172157259949,5.89381062254821,-11.2122215673926,5.12015232630097e-06,0.00131833682097597,4.8156625030693
"Lkr",2.90303685044772,7.28899052453949,10.9461950904219,6.09296981763251e-06,0.00151518906298132,4.64290690780144
"CG9186",0.958592113123757,9.56026882102904,10.9394816550258,6.12007389117822e-06,0.00151518906298132,4.63848776751644
"Ir87a",0.940498002979723,5.218635417546,10.903398104565,6.26809421766403e-06,0.00152255556524918,4.61468475816853
"Cyp28a5",0.982209698946598,8.29532370256256,10.8586293179451,6.45736312393023e-06,0.0015394832010644,4.58503262278729
"CG17110",0.999699960875924,6.1265603922586,10.7410885160389,6.98559149716449e-06,0.00157545094632197,4.50654340554715
"CG8100",-2.15020603925044,5.03170511452963,-10.7351276701095,7.01364492190033e-06,0.00157545094632197,4.50253819458619
"TwdlQ",-1.35838856297563,9.02271005640683,-10.7333399221691,7.02208321716727e-06,0.00157545094632197,4.5013365019851
"CG9444",-0.787835414394503,8.02531105670212,-10.7174206143557,7.09772835844913e-06,0.00157545094632197,4.49062626601655
"312",1.22612856288478,5.03720680285474,10.5300597867613,8.06033555792037e-06,0.00175879254190961,4.36326900171971
"VhaM9.7-a",-0.721011649670109,9.10764533674786,-10.5038912137795,8.20609922732239e-06,0.00176075535754247,4.34528765903204
"CG11550",-0.753620030086053,6.57382760366634,-10.3072850754308,9.4009057290604e-06,0.00198405344845776,4.20864648576346
"Ctr9",0.721003197677456,9.58956624438302,10.2504360428583,9.78191990784718e-06,0.00202591368735539,4.16862088534124
"CG5618",-0.893996868798819,9.2982274184085,-10.2313101135171,9.91397874035963e-06,0.00202591368735539,4.15510224623182
"Ugt86Dd",1.03846340222221,6.2132186092223,10.1741907179461,1.03204359493434e-05,0.0020760201939351,4.11457006070887
"be",0.748884596642055,9.28509453244362,10.0772194483454,1.10540295981628e-05,0.0021893781084115,4.04520898620681
"Obp18a",-0.87718949704438,8.47797703822671,-9.93525931866861,1.22358750699547e-05,0.00238673720682723,3.94240231472418
"Ect3",0.922691841265879,9.28770886961898,9.75854600956871,1.39098709905087e-05,0.00266633640071521,3.81228209740313
"CG1894",0.682954941072196,6.86184014641695,9.72280595104374,1.42788201593448e-05,0.00266633640071521,3.7856710658381
"CG12224",0.675470893335224,4.37909282477477,9.7216817546866,1.42906021166188e-05,0.00266633640071521,3.78483239753418
"CG13102",-1.08227854199764,9.6065204557872,-9.67694686159471,1.47684071895174e-05,0.002681658320288,3.7513787583117
"CG12290",-1.36538973185343,7.80770042522463,-9.66290024635309,1.49221124273967e-05,0.002681658320288,3.74084184482259
"Cpr65Av",-1.34878449477867,10.2820368786103,-9.65605889069819,1.49976230434003e-05,0.002681658320288,3.73570422092589
"PGRP-LC",0.679826277612541,8.25176199633634,9.63123874256013,1.52751915334446e-05,0.00269387418906255,3.71703396309024
"CG9004",0.886782822639706,8.84562602027187,9.59440547548064,1.56977853873767e-05,0.00273099039293362,3.68923677568397
"CG40498",-0.900765839531879,6.21093624208878,-9.5250891508026,1.65290904714725e-05,0.00283727347639649,3.63663058439546
"Zip102B",-0.726771400612279,9.78701101934999,-9.50391625410377,1.67927708661687e-05,0.00284460700172442,3.62048459705573
"alpha-Est2",-1.42227589740637,7.50441609673729,-9.46778390098565,1.72537136841747e-05,0.00288473129831253,3.59284683567931
"CG32850",0.922563064195499,10.2651863967683,9.42000509883667,1.7885160723959e-05,0.00290643589969438,3.55613712334273
"CG6567",0.812020534675289,9.38304837685439,9.40162033713431,1.81350027910152e-05,0.00290643589969438,3.54196175271963
"CG44005",1.90513016925398,7.95020879077123,9.37904122777049,1.84472129880721e-05,0.00290643589969438,3.52451428392355
"CG14990",0.729623770640183,5.54331471781448,9.36548149243687,1.86376018554539e-05,0.00290643589969438,3.51401608486599
"santa-maria",0.722216506281471,8.11431143024602,9.3607900978204,1.87039845527236e-05,0.00290643589969438,3.51038037679286
"CG1946",0.811934215855258,6.55002036409174,9.34565361922484,1.89199774761426e-05,0.00290643589969438,3.49863756163555
"CG14117",0.793888856553143,7.37588527459665,9.34260270194428,1.89638508291384e-05,0.00290643589969438,3.49626837043814
"Spn42De",-1.70626933694116,6.72258926767906,-9.27315530096646,1.99940306881405e-05,0.00302827236563671,3.44212910138193
"CG32281",0.774542010932105,8.53431786011388,9.15884277394396,2.18292066499466e-05,0.00325177598182525,3.35213037888262
"CG4456",0.823368279767698,8.08872827139348,9.15023426343907,2.19748726439954e-05,0.00325177598182525,3.345307906515
"CG34057",-0.782979831067556,6.32685268043801,-9.13189735597592,2.22887989609083e-05,0.00326074997525833,3.3307542801781
"Spt20",-0.768000391154902,7.08557911791625,-9.05615869253805,2.36397587232639e-05,0.00341953094161011,3.27033559166513
"subdued",-0.946223934622158,7.6768957429,-8.97039141371407,2.52815153720545e-05,0.00361638032110921,3.20131555724439
"TkR86C",0.80971643383991,5.56149329480389,8.90575455073257,2.66032821084524e-05,0.00376363355894743,3.14887308213793
"CG5111",0.779771100284531,3.95961864369592,8.85709668412235,2.76493920170658e-05,0.00386597695891451,3.10915049816685
"spz5",-1.00309408127273,8.55960675681004,-8.83833180689507,2.80650658088546e-05,0.00386597695891451,3.09377501331565
"zormin",-0.722846602691186,6.03078613368138,-8.81172832162313,2.86664214383369e-05,0.00386597695891451,3.07192261019785
"GstD3",0.625033674962259,8.38822246324195,8.80600503063747,2.87976702956675e-05,0.00386597695891451,3.06721311152581
"cpo",-0.648980208512894,9.53691681629581,-8.80467947397872,2.88281643666144e-05,0.00386597695891451,3.06612193564677
"Fur1",0.691205627769859,8.87705300005219,8.76271008464525,2.98126052862946e-05,0.00395677814902843,3.03149135682809
"Hsp23",-0.919272760408164,11.0369994523205,-8.6288561008684,3.321267442396e-05,0.00426068419142162,2.91997035598112
"CG5804",-1.13465207793229,9.06719232083505,-8.62405148311349,3.33425424822859e-05,0.00426068419142162,2.91593671717406
"Gbp2",-0.883147273827824,8.89225408983087,-8.62110620913946,3.34224336701994e-05,0.00426068419142162,2.91346300241688
"CG16790",1.04442318837689,7.73504286491373,8.62096696903176,3.34262158873375e-05,0.00426068419142162,2.91334603572409
"CG32440",0.937233281643323,5.07749697426787,8.57090999701739,3.48174894709631e-05,0.0043363500128722,2.87117956888437
"Mlc2",-0.597807295350934,11.164871524062,-8.56948781641207,3.48579529826131e-05,0.0043363500128722,2.86997815469015
"CG6465",0.613887591675256,8.69578959833947,8.56345004972426,3.50303247893979e-05,0.0043363500128722,2.8648755304215
"CG6912",0.862703071253179,8.33371493949897,8.53691151857255,3.57993653548427e-05,0.00438934313884043,2.84240685731671
"CG31370",-0.989107097661992,5.85484257939009,-8.47151728494836,3.77762835099595e-05,0.00458803654629451,2.78675829174331
"CG7381",-0.568992863797273,7.08740867799918,-8.45470318341859,3.83041236895703e-05,0.00460866624653765,2.77238456224198
"TpnC41C",-0.87032396610823,6.66715869248345,-8.44205068458732,3.87067609095196e-05,0.00461398925878847,2.76155069437057
"CG13361",0.932934579004495,6.04587868960948,8.41819011705804,3.94790170173638e-05,0.004662870321849,2.74107821930149
"CG6834",0.664760352540851,8.6084505869099,8.3903075635977,4.04033630400653e-05,0.00471686520422458,2.717085825096
"spok",-0.826275224943914,4.43092454169661,-8.38242806542138,4.06689480867585e-05,0.00471686520422458,2.71029214500509
"CG31313",0.657218904884468,10.1933452785792,8.36495804785672,4.1264781161903e-05,0.00474323922034231,2.69520823261417
"CG7548",-0.804976827039771,7.87677605211426,-8.31868892335416,4.28905579215987e-05,0.00488648710338639,2.65511621026186
"Cpr100A",-1.75359914830544,8.35028718583865,-8.26754938117064,4.47713282398925e-05,0.00505601824351207,2.61056191808602
"TpnC4",1.01760152912099,5.00892051739578,8.21265870042217,4.68933225854213e-05,0.00521348753671443,2.56245447038619
"Rbp",-0.592868549891202,5.29158501277973,-8.2105852918725,4.69756528086744e-05,0.00521348753671443,2.56063147072655
"Cyp4d20",-0.759887936617814,4.40036335454891,-8.19194121416601,4.77232681397297e-05,0.00525119106009299,2.54421997057015
"CG11594",-0.986202684006976,7.0335851572284,-8.16164265933175,4.8966758914888e-05,0.00534235639212091,2.5174760736441
"Eip71CD",-0.550470426674945,8.97136410928019,-8.11315103854348,5.10329951977478e-05,0.00552099815273786,2.4744831839808
"CG13297",-0.737790457510838,10.7502547634745,-8.10088814332315,5.15708340877363e-05,0.00553269098371264,2.46357355189385
"CS-2",1.0275321130161,6.95696884768833,8.09035432541253,5.20378981074869e-05,0.00553666033252716,2.45419012123629
"Teh2",-0.593882164135402,4.5536016316865,-8.06164947240019,5.33348280173789e-05,0.005594548123845,2.42856335592785
"Cpr67Fa1",-1.55564955774395,9.43486956904189,-8.05551468354537,5.36166679370181e-05,0.005594548123845,2.42307562261515
"CG13707",0.779357047038855,6.77172420206522,8.04969309942467,5.38856584866226e-05,0.005594548123845,2.41786453741331
"CG32036",-0.634175055158075,7.98232913644441,-8.02140589046052,5.52143377474646e-05,0.00568663507328687,2.39249483521819
"CG6409",-0.777148090432508,9.07739819323273,-8.00191221082404,5.61512744928804e-05,0.00573723418905827,2.37496435131707
"CG11141",-0.600876101986277,8.31899374477248,-7.98662742827392,5.68983460959942e-05,0.00576778982393567,2.36119177340692
"Cpr66Cb",-0.875377581733861,9.65575174936043,-7.97491079432869,5.7478538272583e-05,0.00578108360719714,2.35061815178039
"UQCR-11",1.59508097153468,5.6421013413015,7.94179749302041,5.91543156050358e-05,0.00590350898526536,2.32065906803489
"kar",0.671777631905091,9.92393607558645,7.91634717823394,6.04794039584004e-05,0.00598932189661882,2.29755630629793
"Act87E",-0.848314740158667,12.2875866245724,-7.89219130523317,6.17678286410978e-05,0.00600388681213686,2.27556663902284
"CG33080",0.599154517178111,6.57180588475114,7.888708409635,6.19561152350737e-05,0.00600388681213686,2.27239108599472
"CG31235",1.57068216405216,6.544556162751,7.88742697680652,6.2025551189545e-05,0.00600388681213686,2.27122241421068
"Paip2",-0.550626243884455,9.10968933030275,-7.83206473957578,6.51100517519208e-05,0.00625542392727036,2.22056852787984
"CG32437",1.23312634112346,5.38233354329636,7.76010317680395,6.93784512283911e-05,0.0066161346749208,2.1542467070657
"Calx",-1.13996009221437,7.02903925635942,-7.71090557532756,7.24762486612564e-05,0.00686072959753687,2.10858947126804
"Lcp65Ad",-0.81957658476872,7.21448042111045,-7.70231194497221,7.30330442318482e-05,0.00686297380613733,2.10058780894803
"CG5568",1.02262282067861,8.62515944328058,7.68299440202732,7.43021727471334e-05,0.00693163892714925,2.08257211807145
"ebd2",0.573229101311695,7.90184200547135,7.65133311585537,7.64358454906618e-05,0.00705050695394003,2.05295799502355
"CG14721",0.641311209330608,8.78195691106616,7.64789451875374,7.66716617641451e-05,0.00705050695394003,2.04973524067901
"CG15369",-1.62939464156947,8.45392578989274,-7.63522644974312,7.75474593849297e-05,0.0070804680292311,2.03785135367962
"CG9837",0.569508821602964,6.84886865445084,7.56102538672054,8.29069727605329e-05,0.00751650962900775,1.96789438862194
"CG30172",-0.690937073262635,8.81504415147517,-7.5064441800542,8.71132856630311e-05,0.0078426324449361,1.91605160112539
"RpS5b",-0.529010422938736,13.5795382117079,-7.49063132876277,8.83759900311352e-05,0.00790105899764468,1.900970925862
"CG10116",-0.695435203489236,7.52519313059945,-7.47515172371366,8.96318873273881e-05,0.0079580752927779,1.88618132728639
"CG5793",-0.602112099931066,10.0157855688265,-7.45012825049359,9.17044177218835e-05,0.00806506503751918,1.8622171709907
"CG2663",-0.540973535682889,9.37306568762946,-7.44548127149161,9.20951509361452e-05,0.00806506503751918,1.85775926164493
"CG15695",0.741340315187752,7.27753624586189,7.4380443332539,9.27243420977423e-05,0.00806506503751918,1.85061991094872
"CG15067",-0.653048351730682,5.52604448198492,-7.4307893695911,9.33427598718626e-05,0.00806506503751918,1.84364932169499
"CG7889",0.587812384304671,8.79557635559464,7.41033673575107,9.51110566275296e-05,0.00816306495348544,1.82396678251356
"Nep4",-0.618172880000218,7.61868269312652,-7.39244990507284,9.66881726289773e-05,0.00824346711540035,1.80671511850174
"e(y)2b",-0.607210537899935,7.58859436776264,-7.36851393713647,9.88444599713009e-05,0.00837042856208249,1.78357300974447
"Fdh",0.535517754635228,9.40173351865788,7.36159535584694,9.94776736056099e-05,0.00837042856208249,1.77687189425407
"CG31259",-0.925565363489394,7.84938267419059,-7.34365453747463,0.000101140853662005,0.00842343179065357,1.75946986995963
"CG10924",0.566831868183618,9.79827362274473,7.34071629927745,0.000101416182037541,0.00842343179065357,1.75661641143737
"CG2909",0.626845583509203,8.22550933707329,7.29402885586612,0.000105905067356181,0.00873988357143251,1.71114493421553
"CG11407",0.705616718571948,7.0352011667533,7.24746503836006,0.00011060373796923,0.00906950651347687,1.66554687380973
"yellow-h",-0.75268193872196,8.85028105339687,-7.2285284242729,0.000112580672109366,0.00917318716921505,1.64693205978806
"CG8927",-0.80646460943735,8.82515832120649,-7.20388523695576,0.000115212565733093,0.00930058895724142,1.62264593229551
"Mob2",0.724911552884538,7.50741235032558,7.19744811317201,0.000115911293638584,0.00930058895724142,1.61629055118049
"Idh3b",-0.710418906226222,9.94968020163492,-7.19378019505367,0.00011631154436196,0.00930058895724142,1.61266707156208
"Prx2540-2",-0.645816489765993,9.58941198650706,-7.18067527340124,0.000117754209334894,0.00935782525294704,1.59970822183269
"CG31775",-0.543555684678397,12.8584305695821,-7.16665355065446,0.000119319915084294,0.00942407721960249,1.58582077906859
"Tsp42Er",-0.914784652078151,7.94073325517726,-7.15469144357274,0.000120673982657125,0.00946692491039479,1.57395520588682
"CG2150",-0.72193900051013,10.9447692520642,-7.14892246255719,0.000121333121812579,0.00946692491039479,1.56822683995436
"TwdlC",-1.06614406784501,9.18411318203859,-7.13965109218033,0.000122400847043593,0.00949270183638084,1.559012633234
"CG8369",1.09925477530238,8.03888291017137,7.11977525150494,0.000124725269560817,0.0096150486247063,1.53922559073551
"Dip-B",-0.541555473473991,9.44371785511814,-7.06548451779588,0.000131328896742856,0.0100424080297568,1.48494186090228
"CG5697",-0.775312858781179,7.86180995501744,-7.06101840073092,0.000131889227506535,0.0100424080297568,1.48046090873686
"Prat2",0.50683165087041,10.190648787207,7.0553116793459,0.00013260908537041,0.0100424080297568,1.47473181096853
"Galk",0.495895925004962,9.25119250970844,7.03054050287681,0.000135784892747619,0.0101898741693086,1.44981894676744
"Tb",-1.15087477429496,10.1509423575836,-7.01828612215243,0.000137387212160464,0.0101898741693086,1.43746763686807
"CG13912",-0.55804460104229,8.83692288111718,-7.01740775478814,0.000137502868890947,0.0101898741693086,1.43658163828101
"CG7860",0.764793550014726,8.3868977632106,7.01062311007736,0.000138399880120619,0.0101898741693086,1.4297349649733
"CG10013",-0.998802648598911,5.34042485250991,-7.00976419785037,0.000138513902410207,0.0101898741693086,1.42886781056449
"CG14752",-1.0313130983086,10.336894799874,-6.96379589348452,0.000144771592990524,0.0105745847293338,1.38233031693758
"CG44014",-0.798600402963236,5.17472304368945,-6.95940099911191,0.000145386165689923,0.0105745847293338,1.37786780123112
"TAF1B",0.680053736316745,9.8049571781715,6.93730874793421,0.000148519812607407,0.0107065486070961,1.35540060174259
"CG11912",-0.749612770614733,6.43873358372871,-6.93457555160799,0.000148912697047929,0.0107065486070961,1.35261695005439
"CG15829",-0.613783482586861,7.11807730698946,-6.92915423644936,0.000149695413179843,0.0107065486070961,1.34709290211613
"Cpr65Eb",-0.568398433047888,10.000305870293,-6.90895292972932,0.00015265260357264,0.0107937540585951,1.32647766492724
"CG13667",0.535245735192744,8.28612965643132,6.90870140895193,0.000152689830109801,0.0107937540585951,1.32622068073657
"ewg",-0.695818159238526,9.0611365547626,-6.90371500739195,0.000153429935740477,0.0107937540585951,1.32112439269971
"CG1271",0.541636932786126,6.98789955588922,6.89740682198452,0.000154371952079218,0.0108010027775427,1.31467289549774
"CG15544",-0.519477639384685,5.43620691016222,-6.8834896136344,0.000156473087053722,0.0108755399653826,1.30042251399992
"CG13856",0.735592986041834,6.28469666231589,6.87583727795491,0.000157641934454128,0.0108755399653826,1.29257700379615
"Lig4",0.634964566451924,7.29259809535572,6.87369060139906,0.000157971568551075,0.0108755399653826,1.29037486344308
"CG34354",-0.689461206575027,5.49461422126536,-6.85943053542974,0.000160180845948713,0.0109285479538288,1.27573217972513
"Obp99c",0.697029762874379,9.37092458976309,6.8577766119473,0.000160439301170859,0.0109285479538288,1.27403228252219
"Esp",-0.705924866230715,10.1672131823939,-6.84474638640632,0.00016249180932395,0.0110101029117712,1.26062823584088
"CG42361",-0.489628625335799,7.12945471653547,-6.82957104205513,0.000164919117047537,0.0111160665595288,1.24499149049798
"CG30090",0.676921408599547,5.52596307848352,6.80835213330421,0.000168380998527204,0.0112902967449959,1.22308033572624
"CG1815",0.469521994162578,10.1867411846691,6.76662742922807,0.000175426657022956,0.0116613466766031,1.17983363990128
"CG43103",-0.999058422053033,7.17954246364722,-6.7648940539425,0.000175726367505126,0.0116613466766031,1.17803241069421
"CG15022",-0.69044597193373,11.66510639993,-6.7523799037363,0.000177907105960678,0.0117455183699373,1.16501740931975
"Cyp12d1-d",-0.797958824040708,5.14729986539685,-6.72266980880818,0.000183205972822817,0.0120336412965354,1.13404082913246
"CG12880",0.535773597809432,7.53093450764592,6.6953488706914,0.000188233957694314,0.0122268600119245,1.10545878829886
"Cyp4aa1",-0.445630434721638,6.51298622981926,-6.6943407385013,0.000188422400653339,0.0122268600119245,1.10440234889018
"CG4080",-1.01117370959371,8.37964012537122,-6.69067949006134,0.00018910853753497,0.0122268600119245,1.10056459946262
"CG14196",-0.792779599562007,6.05135389193093,-6.68406934660351,0.000190354357507064,0.0122268600119245,1.09363157129821
"CG4822",0.542866771100844,9.6509376720741,6.68120891304642,0.000190896291936991,0.0122268600119245,1.09062972823898
"Sfxn2",-0.498247779558563,8.32661719119801,-6.63526585459704,0.000199839813739162,0.0127034252364451,1.04227546783371
"salt",-0.61595083101312,6.67137028611134,-6.63124807931547,0.000200643812636712,0.0127034252364451,1.03803427012977
"mael",0.921863598895419,9.67773527331794,6.62799664319025,0.000201297090899084,0.0127034252364451,1.03460054392235
"CG13847",-0.491377360199589,8.35947153178042,-6.59437386089659,0.000208192951669492,0.0130745173648441,0.999014794765689
"btn",0.639220644492371,5.85323259661956,6.58903814299636,0.00020931122315869,0.0130809353735193,0.99335447581589
"CG4586",-0.67191222705574,7.30952480192052,-6.57460819806209,0.000212369054936282,0.0132079189045879,0.978028670931856
"CG9601",0.681358044257825,9.09602231276029,6.56065798691465,0.000215372473989547,0.0133150559922259,0.963187348143077
"CG5626",0.715242049634114,8.19152403247023,6.55703482798377,0.000216160222337674,0.0133150559922259,0.959328716779805
"CG5498",0.483358551501688,8.65496069222663,6.54326267857316,0.000219183906123096,0.0134370171782321,0.944646308476672
"CG13046",-0.9204795932585,8.17633730819951,-6.52436559391648,0.00022340950869877,0.0136311564691373,0.924461015854699
"CG13315",-0.842873984272167,11.0702466708606,-6.50298236672195,0.0002283005015044,0.0138416381916492,0.901565242961908
"CG30496",0.450879715182929,7.7562370234177,6.4999247040907,0.000229009549077309,0.0138416381916492,0.898286526791266
"CG30458",-1.22843675586308,10.0512201030616,-6.49504869056274,0.000230145322518058,0.0138452844957826,0.893055529971712
"zpg",1.77217944665332,6.34873206477914,6.48485038203891,0.000232541100269848,0.0139243447668559,0.882104932031764
"CG31431",0.457794634700139,9.43699205515228,6.47833762382139,0.000234085555828671,0.0139519326191588,0.875104785056544
"CG15047",0.489031421100644,5.80402772315066,6.45801159172185,0.000238979451039748,0.0141779790446346,0.853222647830546
"CG33093",-0.535301317748379,4.79818223905279,-6.43733484983845,0.000244074621839947,0.0144138379888416,0.830908460161773
"NijA",-0.910833727132226,5.96580544839138,-6.42796683830176,0.000246422693259183,0.0144860536667522,0.82078043880632
"CG3984",0.668370792265878,6.96803790418263,6.42279312581118,0.000247730213767432,0.0144967216910996,0.815182137782853
"sns",0.729290297596853,6.61024761096953,6.41461382624147,0.000249813057744123,0.0145524583954653,0.806324536885957
"CG4596",0.439142095261683,6.24668762570134,6.40888298112937,0.000251283986771064,0.0145606952608037,0.800113284739139
"TwdlW",-0.840059608872364,11.402073913424,-6.40526914759518,0.000252216486186052,0.0145606952608037,0.796194324704261
"CG12693",-0.554617149425733,5.11963339179023,-6.39355117843491,0.000255266662943868,0.0145698349658621,0.783475338084461
"CG2145",-0.573065845651364,9.90689551540795,-6.39250244301414,0.000255541637548459,0.0145698349658621,0.782336145800135
"ZnT35C",0.493787627279009,7.33721458926091,6.39070954453789,0.000256012490714549,0.0145698349658621,0.780388273544696
"Dic61B",0.691857323011163,5.09123715540481,6.38733358873199,0.000256901703996482,0.0145698349658621,0.776719376327893
"dgt6",0.603284798972819,8.72662225692099,6.37243866432583,0.000260866103450384,0.0147268538206791,0.760514305801178
"CG13890",0.453186537166424,8.7140890663889,6.36520730419903,0.000262815229307115,0.0147268538206791,0.75263647958989
"CG16786",-0.490964160841946,8.98215893390067,-6.36103043931425,0.000263948412401107,0.0147268538206791,0.748083111833087
"CG8112",0.599400901725721,8.65158284801443,6.35922751821186,0.000264439219054606,0.0147268538206791,0.746116973217621
"CG31997",-0.528974390938995,10.9978218811268,-6.35280123837116,0.000266196891481602,0.0147268538206791,0.739105479802137
"CG2010",-0.533421358238792,8.10169377743143,-6.35157460884064,0.000266533862064489,0.0147268538206791,0.737766534490922
"CG7408",0.900716505949224,5.13657106230356,6.34679569174025,0.000267851212122046,0.0147363953199112,0.732548166104348
"CG15650",-0.532866986291841,8.17717371724297,-6.3254185740537,0.000273833101303215,0.0150013929624578,0.709168775353374
"DNApol-eta",0.653644113650664,7.22867818796522,6.31567173031138,0.00027660960145963,0.0150262421481279,0.698489157983467
"CG31272",0.70652508627135,7.49739183635549,6.31454233825552,0.000276933335692991,0.0150262421481279,0.697250878429421
