"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tektin-C",3.37300308025243,8.80337564796925,36.4508026246168,7.47239219334001e-10,9.61995770970593e-06,11.6371594990496
"CG13032",3.48267781670936,6.08377696748961,30.892417953946,2.62769636371302e-09,1.69144814932207e-05,10.9737817992685
"Rala",2.69587805765964,6.98999431259953,26.6552658146017,8.04328116472706e-09,3.15255298020027e-05,10.2860517620061
"CG40298",-2.88796872570334,5.54109422826778,-25.3209421439406,1.1864910589162e-08,3.15255298020027e-05,10.0259003869503
"eIF4E3",3.55844217420015,7.213515526654,24.739090866329,1.41459261069575e-08,3.15255298020027e-05,9.90472427360078
"CG31176",-1.87342449669843,8.81370158776559,-24.3159034268031,1.61170481934042e-08,3.15255298020027e-05,9.81343664835262
"VhaM9.7-c",-5.82521474100739,7.43492050219581,-24.0620295106222,1.7447654503416e-08,3.15255298020027e-05,9.75734975273013
"wnd",-1.5483686355685,9.93155290277065,-23.6959975904071,1.95902002808778e-08,3.15255298020027e-05,9.67468398819596
"LysX",-2.41802232930625,6.59446895007203,-23.2537713753932,2.25856738512117e-08,3.23075516845e-05,9.57188311482577
"CG6738",-2.84634002340018,7.13131967987514,-22.1268003722387,3.28580154779524e-08,4.23014091263159e-05,9.29455040617102
"corolla",1.89828323106578,7.43048966752442,20.5302722292004,5.77625222185512e-08,6.48462829104763e-05,8.86002915308061
"Drsl5",-5.34688204990466,8.93923961895807,-20.4068255726749,6.04439486504362e-08,6.48462829104763e-05,8.82421024994489
"CG5493",2.11410991076965,8.98000200413129,20.1628102826013,6.61680638399211e-08,6.55267426057803e-05,8.75240971739395
"AOX3",-1.30596551649396,6.74677600635991,-19.2950853976363,9.20889184849984e-08,7.90408245759508e-05,8.48590801656118
"Clbn",-2.90874047115379,6.73143858513246,-19.2949561477808,9.20935504613378e-08,7.90408245759508e-05,8.48586697270426
"CG5402",-2.92542896123427,8.29869234721968,-19.113607106794,9.88594235595157e-08,7.95447636815753e-05,8.42786948260971
"CG11052",-2.24441672376285,6.06031619338289,-18.249858106161,1.39840318416737e-07,0.000105900250546887,8.14000238957099
"Eip63E",-2.3419538425463,9.36197283316281,-17.7804356887947,1.69974470465891e-07,0.00012156951848766,7.97506565540241
"CG11893",-1.62735784791515,5.03518113600559,-17.2450004761801,2.13653181893026e-07,0.00014476689808899,7.77915135683964
"Lsp1gamma",-1.23483411996913,4.98379603741804,-16.7479024527555,2.65825314370877e-07,0.000168933031255571,7.58943638297488
"HP1e",-2.30559432157124,4.88959770490032,-16.6673717968465,2.75562657788333e-07,0.000168933031255571,7.55796418156462
"CG32368",-1.88286378762224,4.6528940017345,-16.3383881299192,3.19744329444484e-07,0.000179633802360904,7.42718524645403
"CG3822",2.54402812199207,5.77499713839045,16.3303189322799,3.20924145898771e-07,0.000179633802360904,7.42393227271478
"Ugt35a",1.87470840768378,6.88739268772282,15.8135049812713,4.07797788132351e-07,0.000218749530183995,7.21092675096236
"CG34437",1.75982056368936,5.16022397678035,15.6621948153365,4.38042309785907e-07,0.000225574267847351,7.14678323767265
"CG10424",-1.39606417442212,7.99962027206309,-15.5596997296574,4.5996515644265e-07,0.000227753516309334,7.10286184081598
"CG3259",1.30230971447697,5.96541638879442,15.2447815579077,5.35457995971979e-07,0.000250755752654363,6.96547747620279
"CG4022",-1.38688072053395,8.672315046521,-15.2071626122718,5.45375258219836e-07,0.000250755752654363,6.94881609697376
"CG32485",-1.02698794724068,8.48189183351333,-14.8443147312748,6.52434756794133e-07,0.000285570455680222,6.78529626313576
"Ppcs",-1.61011487752233,6.94716063816292,-14.8048044326155,6.65458573124643e-07,0.000285570455680222,6.76717742127255
"alpha-Est7",1.40019180547442,8.19270077603757,14.7338854512471,6.89577193311554e-07,0.000286374735054611,6.73449783725908
"CG18547",1.01550035561293,7.39137682034755,13.6739517763497,1.19777240503776e-06,0.000481878810701752,6.22086964670851
"CG5039",1.17163562789703,8.67655569417666,13.2837324024833,1.48264924633107e-06,0.000569375597625376,6.01911973549497
"CG5815",-1.53107847780187,8.41679880430533,-13.2583031214699,1.50371060426152e-06,0.000569375597625376,6.00572142022878
"hng3",1.75057683490445,7.3167378089334,13.0865044176957,1.65514899320703e-06,0.000608811089672779,5.91437878183831
"Clk",1.38212945383136,5.25031651060861,12.6941488656938,2.06983388064214e-06,0.000740195593871859,5.70024759485857
"Rbm13",1.60239513077428,8.23318391998501,12.5383661987734,2.26597671128828e-06,0.000785279660451541,5.61303137015791
"Rh7",0.919012875414979,5.65837473283641,12.4956953790938,2.32329240833203e-06,0.000785279660451541,5.58891833613822
"Aplip1",-1.82597727862155,7.26695110851571,-12.4554162515497,2.37889597309384e-06,0.000785279660451541,5.56606776682895
"CG14183",0.909403824566441,6.33904078206557,12.2841197251918,2.63269311456692e-06,0.00084326853004611,5.46791341362342
